index,bookings_cumm,day,next,bookings_daily,flag,ID,state,gender,returning_cust,ticket_type,discount,sail_date,RRP,booking_date,purchased_price,capacity
0,2,-365,0,2,1,Ship2,QLD,M,Yes,MiniSuites_Mid,0,30/12/2023,2500,30/12/2022,2500,1100
0,2,-365,0,3,1,Ship2,ACT,M,No,Interior_Bow,0.25,30/12/2023,600,30/12/2022,599.75,1100
1,3,-364,2,1,1,Ship2,VIC,M,Yes,OceanView_Mid,0.1,30/12/2023,1500,31/12/2022,1499.9,1100
11,4,-354,3,1,1,Ship2,VIC,M,Yes,Balcony_Mid,0.07,30/12/2023,650,10/1/2023,649.93,1100
19,5,-346,4,1,1,Ship2,WA,F,No,MiniSuites_Aft,0.14,30/12/2023,2600,18/1/2023,2599.86,1100
25,6,-340,5,1,1,Ship2,NSW,F,No,Balcony_Bow,0.26,30/12/2023,750,24/1/2023,749.74,1100
30,7,-335,6,1,1,Ship2,NT,M,Yes,MiniSuites_Aft,0.15,30/12/2023,2600,29/1/2023,2599.85,1100
34,8,-331,7,1,1,Ship2,TAS,F,No,OceanView_Aft,0.32,30/12/2023,1800,2/2/2023,1799.68,1100
38,9,-327,8,1,1,Ship2,NSW,M,Yes,OceanView_Mid,0.2,30/12/2023,1500,6/2/2023,1499.8,1100
42,10,-323,9,1,1,Ship2,VIC,F,No,MiniSuites_Aft,0.22,30/12/2023,2600,10/2/2023,2599.78,1100
45,11,-320,10,1,1,Ship2,SA,M,No,OceanView_Aft,0.29,30/12/2023,1800,13/2/2023,1799.71,1100
47,12,-318,11,1,1,Ship2,TAS,M,No,OceanView_Bow,0.35,30/12/2023,2100,15/2/2023,2099.65,1100
50,13,-315,12,1,1,Ship2,VIC,F,Yes,Interior_Bow,0.01,30/12/2023,600,18/2/2023,599.99,1100
52,14,-313,13,1,1,Ship2,NSW,F,No,Interior_Aft,0.36,30/12/2023,550,20/2/2023,549.64,1100
55,15,-310,14,1,1,Ship2,NSW,M,Yes,Suites_Mid,0.17,30/12/2023,900,23/2/2023,899.83,1100
57,16,-308,15,1,1,Ship2,SA,M,No,Suites_Bow,0.03,30/12/2023,1100,25/2/2023,1099.97,1100
59,17,-306,16,1,1,Ship2,ACT,M,Yes,Interior_Aft,0.13,30/12/2023,550,27/2/2023,549.87,1100
60,18,-305,17,1,1,Ship2,SA,F,Yes,Balcony_Mid,0.38,30/12/2023,650,28/2/2023,649.62,1100
62,19,-303,18,1,1,Ship2,VIC,F,No,Interior_Bow,0.24,30/12/2023,600,2/3/2023,599.76,1100
64,20,-301,19,1,1,Ship2,ACT,M,No,Balcony_Bow,0.24,30/12/2023,750,4/3/2023,749.76,1100
65,21,-300,20,1,1,Ship2,VIC,M,No,MiniSuites_Mid,0.37,30/12/2023,2500,5/3/2023,2499.63,1100
67,22,-298,21,1,1,Ship2,NSW,M,No,Balcony_Aft,0.14,30/12/2023,700,7/3/2023,699.86,1100
68,23,-297,22,1,1,Ship2,VIC,M,No,MiniSuites_Bow,0.07,30/12/2023,2700,8/3/2023,2699.93,1100
70,24,-295,23,1,1,Ship2,ACT,F,No,Balcony_Mid,0.16,30/12/2023,650,10/3/2023,649.84,1100
71,25,-294,24,1,1,Ship2,NT,M,No,Balcony_Aft,0.11,30/12/2023,700,11/3/2023,699.89,1100
72,26,-293,25,1,1,Ship2,TAS,M,No,Suites_Bow,0.08,30/12/2023,1100,12/3/2023,1099.92,1100
73,27,-292,26,1,1,Ship2,VIC,M,Yes,Interior_Bow,0.35,30/12/2023,600,13/3/2023,599.65,1100
74,28,-291,27,1,1,Ship2,NSW,M,Yes,Balcony_Aft,0.07,30/12/2023,700,14/3/2023,699.93,1100
76,29,-289,28,1,1,Ship2,VIC,M,No,Interior_Mid,0.06,30/12/2023,500,16/3/2023,499.94,1100
77,30,-288,29,1,1,Ship2,ACT,M,No,MiniSuites_Mid,0.08,30/12/2023,2500,17/3/2023,2499.92,1100
78,31,-287,30,1,1,Ship2,WA,M,Yes,Interior_Mid,0.2,30/12/2023,500,18/3/2023,499.8,1100
79,32,-286,31,1,1,Ship2,WA,M,Yes,Balcony_Mid,0.09,30/12/2023,650,19/3/2023,649.91,1100
80,33,-285,32,1,1,Ship2,WA,M,No,Interior_Aft,0.29,30/12/2023,550,20/3/2023,549.71,1100
81,34,-284,33,1,1,Ship2,SA,F,No,Balcony_Bow,0.39,30/12/2023,750,21/3/2023,749.61,1100
82,35,-283,34,1,1,Ship2,NSW,M,No,Interior_Bow,0.21,30/12/2023,600,22/3/2023,599.79,1100
83,37,-282,35,2,1,Ship2,VIC,F,No,Balcony_Mid,0.31,30/12/2023,650,23/3/2023,649.69,1100
83,37,-282,35,3,1,Ship2,WA,M,No,OceanView_Aft,0.34,30/12/2023,1800,23/3/2023,1799.66,1100
84,38,-281,37,1,1,Ship2,NT,M,No,OceanView_Aft,0.39,30/12/2023,1800,24/3/2023,1799.61,1100
85,39,-280,38,1,1,Ship2,NSW,M,Yes,Balcony_Mid,0.08,30/12/2023,650,25/3/2023,649.92,1100
86,40,-279,39,1,1,Ship2,ACT,M,Yes,MiniSuites_Mid,0.21,30/12/2023,2500,26/3/2023,2499.79,1100
87,42,-278,40,2,1,Ship2,VIC,M,Yes,Interior_Aft,0.02,30/12/2023,550,27/3/2023,549.98,1100
87,42,-278,40,3,1,Ship2,WA,M,Yes,OceanView_Aft,0.35,30/12/2023,1800,27/3/2023,1799.65,1100
88,43,-277,42,1,1,Ship2,NSW,M,No,MiniSuites_Mid,0.29,30/12/2023,2500,28/3/2023,2499.71,1100
89,44,-276,43,1,1,Ship2,ACT,M,No,OceanView_Mid,0.12,30/12/2023,1500,29/3/2023,1499.88,1100
90,46,-275,44,2,1,Ship2,SA,M,Yes,OceanView_Mid,0.21,30/12/2023,1500,30/3/2023,1499.79,1100
90,46,-275,44,3,1,Ship2,NSW,M,No,OceanView_Bow,0.32,30/12/2023,2100,30/3/2023,2099.68,1100
91,47,-274,46,1,1,Ship2,ACT,F,No,Suites_Bow,0.02,30/12/2023,1100,31/3/2023,1099.98,1100
92,49,-273,47,2,1,Ship2,SA,M,No,MiniSuites_Mid,0.05,30/12/2023,2500,1/4/2023,2499.95,1100
92,49,-273,47,3,1,Ship2,NSW,M,No,MiniSuites_Aft,0.28,30/12/2023,2600,1/4/2023,2599.72,1100
93,50,-272,49,1,1,Ship2,WA,F,No,Balcony_Aft,0.09,30/12/2023,700,2/4/2023,699.91,1100
94,52,-271,50,2,1,Ship2,ACT,M,No,MiniSuites_Mid,0.07,30/12/2023,2500,3/4/2023,2499.93,1100
94,52,-271,50,3,1,Ship2,ACT,M,No,MiniSuites_Mid,0.31,30/12/2023,2500,3/4/2023,2499.69,1100
95,53,-270,52,1,1,Ship2,TAS,F,No,OceanView_Aft,0.34,30/12/2023,1800,4/4/2023,1799.66,1100
96,55,-269,53,2,1,Ship2,QLD,M,No,OceanView_Mid,0.11,30/12/2023,1500,5/4/2023,1499.89,1100
96,55,-269,53,3,1,Ship2,SA,M,No,Suites_Bow,0.2,30/12/2023,1100,5/4/2023,1099.8,1100
97,57,-268,55,2,1,Ship2,NT,M,No,Suites_Mid,0.32,30/12/2023,900,6/4/2023,899.68,1100
97,57,-268,55,3,1,Ship2,NT,M,No,MiniSuites_Aft,0.34,30/12/2023,2600,6/4/2023,2599.66,1100
98,59,-267,57,2,1,Ship2,NSW,M,No,Balcony_Bow,0.38,30/12/2023,750,7/4/2023,749.62,1100
98,59,-267,57,3,1,Ship2,QLD,M,No,OceanView_Bow,0.29,30/12/2023,2100,7/4/2023,2099.71,1100
99,60,-266,59,1,1,Ship2,VIC,M,No,Interior_Bow,0.24,30/12/2023,600,8/4/2023,599.76,1100
