index,bookings_cumm,day,next,bookings_daily,flag,ID,state,gender,returning_cust,cabin,discount,sail_date,RRP,booking_date,purcahsed_price,capacity
0,1,-365,0,1,1,Ship3,NT,M,No,MiniSuites_Bow,0.24,11/1/2024,2700,11/1/2023,2699.76,1200
16,2,-349,1,1,1,Ship3,TAS,M,No,MiniSuites_Aft,0.07,11/1/2024,2600,27/1/2023,2599.93,1200
31,3,-334,2,1,1,Ship3,SA,M,No,Interior_Mid,0.04,11/1/2024,500,11/2/2023,499.96,1200
41,4,-324,3,1,1,Ship3,TAS,M,No,OceanView_Aft,0.39,11/1/2024,1800,21/2/2023,1799.61,1200
49,5,-316,4,1,1,Ship3,ACT,F,No,Interior_Bow,0.29,11/1/2024,600,1/3/2023,599.71,1200
55,6,-310,5,1,1,Ship3,QLD,M,Yes,Balcony_Mid,0.05,11/1/2024,650,7/3/2023,649.95,1200
60,7,-305,6,1,1,Ship3,NSW,M,Yes,OceanView_Mid,0.29,11/1/2024,1500,12/3/2023,1499.71,1200
65,8,-300,7,1,1,Ship3,NT,M,Yes,Balcony_Bow,0.23,11/1/2024,750,17/3/2023,749.77,1200
69,9,-296,8,1,1,Ship3,VIC,M,No,Balcony_Aft,0.16,11/1/2024,700,21/3/2023,699.84,1200
72,10,-293,9,1,1,Ship3,SA,F,No,Interior_Bow,0.19,11/1/2024,600,24/3/2023,599.81,1200
75,11,-290,10,1,1,Ship3,NSW,M,No,Balcony_Mid,0.09,11/1/2024,650,27/3/2023,649.91,1200
78,12,-287,11,1,1,Ship3,TAS,F,Yes,Balcony_Mid,0.03,11/1/2024,650,30/3/2023,649.97,1200
80,13,-285,12,1,1,Ship3,QLD,M,Yes,Interior_Aft,0.01,11/1/2024,550,1/4/2023,549.99,1200
83,14,-282,13,1,1,Ship3,WA,M,Yes,Balcony_Bow,0.06,11/1/2024,750,4/4/2023,749.94,1200
85,15,-280,14,1,1,Ship3,ACT,M,No,Balcony_Bow,0.04,11/1/2024,750,6/4/2023,749.96,1200
87,16,-278,15,1,1,Ship3,SA,F,No,Interior_Bow,0.32,11/1/2024,600,8/4/2023,599.68,1200
89,17,-276,16,1,1,Ship3,WA,F,No,OceanView_Bow,0.35,11/1/2024,2100,10/4/2023,2099.65,1200
91,18,-274,17,1,1,Ship3,SA,F,No,Interior_Aft,0.38,11/1/2024,550,12/4/2023,549.62,1200
93,19,-272,18,1,1,Ship3,WA,M,No,Interior_Bow,0.16,11/1/2024,600,14/4/2023,599.84,1200
94,20,-271,19,1,1,Ship3,SA,F,No,MiniSuites_Aft,0.03,11/1/2024,2600,15/4/2023,2599.97,1200
96,21,-269,20,1,1,Ship3,VIC,M,No,OceanView_Aft,0.14,11/1/2024,1800,17/4/2023,1799.86,1200
97,22,-268,21,1,1,Ship3,ACT,M,No,MiniSuites_Bow,0.34,11/1/2024,2700,18/4/2023,2699.66,1200
99,23,-266,22,1,1,Ship3,NSW,F,No,Balcony_Aft,0.26,11/1/2024,700,20/4/2023,699.74,1200
100,24,-265,23,1,1,Ship3,QLD,F,No,Balcony_Aft,0.29,11/1/2024,700,21/4/2023,699.71,1200
101,25,-264,24,1,1,Ship3,VIC,M,No,OceanView_Aft,0.26,11/1/2024,1800,22/4/2023,1799.74,1200
103,26,-262,25,1,1,Ship3,NT,F,No,Balcony_Aft,0.37,11/1/2024,700,24/4/2023,699.63,1200
104,27,-261,26,1,1,Ship3,NSW,F,Yes,Balcony_Mid,0.39,11/1/2024,650,25/4/2023,649.61,1200
105,28,-260,27,1,1,Ship3,TAS,M,Yes,Balcony_Bow,0.09,11/1/2024,750,26/4/2023,749.91,1200
106,29,-259,28,1,1,Ship3,NSW,M,Yes,OceanView_Bow,0.07,11/1/2024,2100,27/4/2023,2099.93,1200
107,30,-258,29,1,1,Ship3,TAS,M,No,Suites_Bow,0.19,11/1/2024,1100,28/4/2023,1099.81,1200
108,31,-257,30,1,1,Ship3,ACT,F,No,Interior_Aft,0.28,11/1/2024,550,29/4/2023,549.72,1200
109,32,-256,31,1,1,Ship3,NT,F,No,Interior_Bow,0.07,11/1/2024,600,30/4/2023,599.93,1200
110,33,-255,32,1,1,Ship3,VIC,F,No,Interior_Mid,0.03,11/1/2024,500,1/5/2023,499.97,1200
111,34,-254,33,1,1,Ship3,VIC,F,No,Interior_Bow,0.07,11/1/2024,600,2/5/2023,599.93,1200
112,35,-253,34,1,1,Ship3,QLD,F,No,Balcony_Mid,0.01,11/1/2024,650,3/5/2023,649.99,1200
113,36,-252,35,1,1,Ship3,QLD,F,No,Interior_Bow,0.1,11/1/2024,600,4/5/2023,599.9,1200
114,37,-251,36,1,1,Ship3,SA,F,Yes,Suites_Bow,0.13,11/1/2024,1100,5/5/2023,1099.87,1200
115,39,-250,37,2,1,Ship3,VIC,F,No,Balcony_Mid,0.01,11/1/2024,650,6/5/2023,649.99,1200
115,39,-250,37,3,1,Ship3,NT,M,Yes,OceanView_Aft,0.3,11/1/2024,1800,6/5/2023,1799.7,1200
116,40,-249,39,1,1,Ship3,SA,F,Yes,Balcony_Mid,0.31,11/1/2024,650,7/5/2023,649.69,1200
117,41,-248,40,1,1,Ship3,TAS,M,No,Balcony_Mid,0.04,11/1/2024,650,8/5/2023,649.96,1200
118,42,-247,41,1,1,Ship3,WA,M,Yes,Interior_Aft,0.21,11/1/2024,550,9/5/2023,549.79,1200
119,44,-246,42,2,1,Ship3,SA,F,No,Balcony_Mid,0.34,11/1/2024,650,10/5/2023,649.66,1200
119,44,-246,42,3,1,Ship3,QLD,F,Yes,Suites_Bow,0.15,11/1/2024,1100,10/5/2023,1099.85,1200
120,45,-245,44,1,1,Ship3,TAS,M,No,Balcony_Aft,0.19,11/1/2024,700,11/5/2023,699.81,1200
121,47,-244,45,2,1,Ship3,WA,M,Yes,Balcony_Bow,0.31,11/1/2024,750,12/5/2023,749.69,1200
121,47,-244,45,3,1,Ship3,TAS,M,No,OceanView_Aft,0.32,11/1/2024,1800,12/5/2023,1799.68,1200
122,48,-243,47,1,1,Ship3,WA,F,No,Interior_Aft,0.37,11/1/2024,550,13/5/2023,549.63,1200
123,50,-242,48,2,1,Ship3,SA,M,No,MiniSuites_Mid,0.19,11/1/2024,2500,14/5/2023,2499.81,1200
123,50,-242,48,3,1,Ship3,VIC,M,No,OceanView_Aft,0.22,11/1/2024,1800,14/5/2023,1799.78,1200
124,51,-241,50,1,1,Ship3,SA,M,No,Balcony_Bow,0.14,11/1/2024,750,15/5/2023,749.86,1200
125,53,-240,51,2,1,Ship3,VIC,M,Yes,Interior_Bow,0.35,11/1/2024,600,16/5/2023,599.65,1200
125,53,-240,51,3,1,Ship3,QLD,M,No,MiniSuites_Mid,0.36,11/1/2024,2500,16/5/2023,2499.64,1200
126,54,-239,53,1,1,Ship3,SA,M,Yes,Interior_Mid,0.15,11/1/2024,500,17/5/2023,499.85,1200
127,56,-238,54,2,1,Ship3,QLD,M,Yes,OceanView_Aft,0.04,11/1/2024,1800,18/5/2023,1799.96,1200
127,56,-238,54,3,1,Ship3,QLD,F,No,Balcony_Aft,0.35,11/1/2024,700,18/5/2023,699.65,1200
128,58,-237,56,2,1,Ship3,TAS,M,No,Balcony_Mid,0.19,11/1/2024,650,19/5/2023,649.81,1200
128,58,-237,56,3,1,Ship3,ACT,M,Yes,MiniSuites_Bow,0.18,11/1/2024,2700,19/5/2023,2699.82,1200
129,60,-236,58,2,1,Ship3,WA,F,No,Interior_Bow,0.12,11/1/2024,600,20/5/2023,599.88,1200
129,60,-236,58,3,1,Ship3,NSW,F,No,Balcony_Mid,0.17,11/1/2024,650,20/5/2023,649.83,1200
130,62,-235,60,2,1,Ship3,ACT,F,Yes,Interior_Aft,0.34,11/1/2024,550,21/5/2023,549.66,1200
130,62,-235,60,3,1,Ship3,QLD,F,No,Interior_Bow,0.07,11/1/2024,600,21/5/2023,599.93,1200
131,64,-234,62,2,1,Ship3,VIC,M,No,Interior_Mid,0.25,11/1/2024,500,22/5/2023,499.75,1200
131,64,-234,62,3,1,Ship3,ACT,M,No,Balcony_Aft,0.19,11/1/2024,700,22/5/2023,699.81,1200
132,66,-233,64,2,1,Ship3,WA,F,No,Interior_Mid,0.32,11/1/2024,500,23/5/2023,499.68,1200
132,66,-233,64,3,1,Ship3,ACT,M,No,OceanView_Bow,0.15,11/1/2024,2100,23/5/2023,2099.85,1200
