index,bookings_cumm,day,next,bookings_daily,flag,ID,state,gender,returning_cust,ticket_type,discount,sail_date,RRP,booking_date,purchased_price,capacity
0,47,-365,0,47,1,Ship8,NT,F,No,Balcony_Mid,0.24,28/4/2023,650,28/4/2022,649.76,1000
0,47,-365,0,48,1,Ship8,ACT,F,Yes,OceanView_Bow,0.3,28/4/2023,2100,28/4/2022,2099.7,1000
0,47,-365,0,49,1,Ship8,NSW,F,No,Interior_Mid,0.26,28/4/2023,500,28/4/2022,499.74,1000
0,47,-365,0,50,1,Ship8,QLD,F,No,OceanView_Bow,0.23,28/4/2023,2100,28/4/2022,2099.77,1000
0,47,-365,0,51,1,Ship8,VIC,M,Yes,Balcony_Bow,0.19,28/4/2023,750,28/4/2022,749.81,1000
0,47,-365,0,52,1,Ship8,QLD,M,Yes,OceanView_Aft,0.12,28/4/2023,1800,28/4/2022,1799.88,1000
0,47,-365,0,53,1,Ship8,ACT,M,Yes,MiniSuites_Mid,0.14,28/4/2023,2500,28/4/2022,2499.86,1000
0,47,-365,0,54,1,Ship8,TAS,M,No,PenthouseSuites_Aft,0.05,28/4/2023,3500,28/4/2022,3499.95,1000
0,47,-365,0,55,1,Ship8,NT,F,Yes,OceanView_Mid,0.3,28/4/2023,1500,28/4/2022,1499.7,1000
0,47,-365,0,56,1,Ship8,SA,M,Yes,MiniSuites_Aft,0.13,28/4/2023,2600,28/4/2022,2599.87,1000
0,47,-365,0,57,1,Ship8,QLD,F,No,Balcony_Mid,0.18,28/4/2023,650,28/4/2022,649.82,1000
0,47,-365,0,58,1,Ship8,ACT,F,No,OceanView_Mid,0.06,28/4/2023,1500,28/4/2022,1499.94,1000
0,47,-365,0,59,1,Ship8,NSW,F,Yes,Interior_Aft,0.1,28/4/2023,550,28/4/2022,549.9,1000
0,47,-365,0,60,1,Ship8,WA,F,No,Interior_Mid,0.39,28/4/2023,500,28/4/2022,499.61,1000
0,47,-365,0,61,1,Ship8,WA,M,Yes,Interior_Bow,0.31,28/4/2023,600,28/4/2022,599.69,1000
0,47,-365,0,62,1,Ship8,TAS,M,Yes,Balcony_Mid,0.07,28/4/2023,650,28/4/2022,649.93,1000
0,47,-365,0,63,1,Ship8,TAS,F,No,Balcony_Mid,0.14,28/4/2023,650,28/4/2022,649.86,1000
0,47,-365,0,64,1,Ship8,SA,M,No,Suites_Aft,0,28/4/2023,1000,28/4/2022,1000,1000
0,47,-365,0,65,1,Ship8,SA,F,No,OceanView_Aft,0.06,28/4/2023,1800,28/4/2022,1799.94,1000
0,47,-365,0,66,1,Ship8,VIC,M,Yes,OceanView_Aft,0.29,28/4/2023,1800,28/4/2022,1799.71,1000
0,47,-365,0,67,1,Ship8,QLD,M,No,Balcony_Bow,0.1,28/4/2023,750,28/4/2022,749.9,1000
0,47,-365,0,68,1,Ship8,WA,M,No,MiniSuites_Aft,0.31,28/4/2023,2600,28/4/2022,2599.69,1000
0,47,-365,0,69,1,Ship8,QLD,M,Yes,OceanView_Bow,0.03,28/4/2023,2100,28/4/2022,2099.97,1000
0,47,-365,0,70,1,Ship8,QLD,M,No,Balcony_Aft,0.36,28/4/2023,700,28/4/2022,699.64,1000
0,47,-365,0,71,1,Ship8,SA,M,No,OceanView_Bow,0.23,28/4/2023,2100,28/4/2022,2099.77,1000
0,47,-365,0,72,1,Ship8,QLD,F,No,OceanView_Mid,0.39,28/4/2023,1500,28/4/2022,1499.61,1000
0,47,-365,0,73,1,Ship8,NSW,M,Yes,MiniSuites_Aft,0.01,28/4/2023,2600,28/4/2022,2599.99,1000
0,47,-365,0,74,1,Ship8,TAS,M,Yes,Interior_Aft,0.18,28/4/2023,550,28/4/2022,549.82,1000
0,47,-365,0,75,1,Ship8,ACT,M,No,Balcony_Bow,0.09,28/4/2023,750,28/4/2022,749.91,1000
0,47,-365,0,76,1,Ship8,ACT,M,No,OceanView_Bow,0.17,28/4/2023,2100,28/4/2022,2099.83,1000
0,47,-365,0,77,1,Ship8,TAS,M,No,OceanView_Aft,0.25,28/4/2023,1800,28/4/2022,1799.75,1000
0,47,-365,0,78,1,Ship8,TAS,F,No,Balcony_Mid,0.06,28/4/2023,650,28/4/2022,649.94,1000
0,47,-365,0,79,1,Ship8,NT,M,No,Balcony_Mid,0.1,28/4/2023,650,28/4/2022,649.9,1000
0,47,-365,0,80,1,Ship8,SA,M,Yes,MiniSuites_Mid,0.35,28/4/2023,2500,28/4/2022,2499.65,1000
0,47,-365,0,81,1,Ship8,VIC,F,Yes,OceanView_Mid,0.29,28/4/2023,1500,28/4/2022,1499.71,1000
0,47,-365,0,82,1,Ship8,ACT,M,No,OceanView_Bow,0.05,28/4/2023,2100,28/4/2022,2099.95,1000
0,47,-365,0,83,1,Ship8,QLD,M,Yes,OceanView_Aft,0.32,28/4/2023,1800,28/4/2022,1799.68,1000
0,47,-365,0,84,1,Ship8,ACT,F,No,Interior_Bow,0.29,28/4/2023,600,28/4/2022,599.71,1000
0,47,-365,0,85,1,Ship8,NT,F,No,OceanView_Aft,0.31,28/4/2023,1800,28/4/2022,1799.69,1000
0,47,-365,0,86,1,Ship8,WA,F,Yes,Suites_Bow,0.06,28/4/2023,1100,28/4/2022,1099.94,1000
0,47,-365,0,87,1,Ship8,NSW,M,Yes,OceanView_Aft,0.03,28/4/2023,1800,28/4/2022,1799.97,1000
0,47,-365,0,88,1,Ship8,QLD,M,No,OceanView_Aft,0.25,28/4/2023,1800,28/4/2022,1799.75,1000
0,47,-365,0,89,1,Ship8,VIC,F,No,OceanView_Aft,0.2,28/4/2023,1800,28/4/2022,1799.8,1000
0,47,-365,0,90,1,Ship8,WA,F,No,Interior_Bow,0.23,28/4/2023,600,28/4/2022,599.77,1000
0,47,-365,0,91,1,Ship8,VIC,M,No,Interior_Bow,0.35,28/4/2023,600,28/4/2022,599.65,1000
0,47,-365,0,92,1,Ship8,NT,F,Yes,OceanView_Bow,0.12,28/4/2023,2100,28/4/2022,2099.88,1000
0,47,-365,0,93,1,Ship8,NT,M,No,Balcony_Aft,0.38,28/4/2023,700,28/4/2022,699.62,1000
1,49,-364,47,2,1,Ship8,SA,F,No,OceanView_Bow,0.32,28/4/2023,2100,29/4/2022,2099.68,1000
1,49,-364,47,3,1,Ship8,NT,M,Yes,Balcony_Bow,0.24,28/4/2023,750,29/4/2022,749.76,1000
2,50,-363,49,1,1,Ship8,SA,M,No,Interior_Bow,0.03,28/4/2023,600,30/4/2022,599.97,1000
3,52,-362,50,2,1,Ship8,NSW,M,No,Interior_Bow,0.35,28/4/2023,600,1/5/2022,599.65,1000
3,52,-362,50,3,1,Ship8,ACT,M,No,Interior_Bow,0.08,28/4/2023,600,1/5/2022,599.92,1000
4,54,-361,52,2,1,Ship8,VIC,M,No,MiniSuites_Bow,0.3,28/4/2023,2700,2/5/2022,2699.7,1000
4,54,-361,52,3,1,Ship8,WA,F,No,PenthouseSuites_Bow,0.22,28/4/2023,4000,2/5/2022,3999.78,1000
5,55,-360,54,1,1,Ship8,SA,M,No,Interior_Aft,0.25,28/4/2023,550,3/5/2022,549.75,1000
6,57,-359,55,2,1,Ship8,WA,M,No,Interior_Aft,0.29,28/4/2023,550,4/5/2022,549.71,1000
6,57,-359,55,3,1,Ship8,NSW,F,No,Balcony_Mid,0,28/4/2023,650,4/5/2022,650,1000
