day,flag,ID,sail_date,booking_date, Age ,state,gender,returning_cust,ticket_type,RRP,discount,purchased_price,capacity
-365,1,Ship8,28/4/2023,28/4/2022,80,WA,M,No,Interior_Mid,500,0.18,410,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,TAS,F,No,Interior_Mid,500,0.19,405,1000
-365,1,Ship8,28/4/2023,28/4/2022,25,WA,M,No,Interior_Mid,500,0.29,355,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,TAS,M,No,Interior_Mid,500,0.3,350,1000
-365,1,Ship8,28/4/2023,28/4/2022,31,SA,F,Yes,Interior_Mid,500,0.19,405,1000
-365,1,Ship8,28/4/2023,28/4/2022,54,SA,M,No,Interior_Mid,500,0.07,465,1000
-365,1,Ship8,28/4/2023,28/4/2022,80,SA,M,No,Interior_Mid,500,0.22,390,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,NSW,F,Yes,Interior_Mid,500,0.14,430,1000
-365,1,Ship8,28/4/2023,28/4/2022,51,VIC,M,Yes,Interior_Mid,500,0.22,390,1000
-365,1,Ship8,28/4/2023,28/4/2022,80,VIC,M,No,Interior_Mid,500,0.17,415,1000
-365,1,Ship8,28/4/2023,28/4/2022,44,ACT,M,No,Interior_Mid,500,0.03,485,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,QLD,F,No,Interior_Mid,500,0.07,465,1000
-365,1,Ship8,28/4/2023,28/4/2022,64,QLD,F,Yes,Interior_Mid,500,0.35,325,1000
-365,1,Ship8,28/4/2023,28/4/2022,57,VIC,M,No,Interior_Mid,500,0.03,485,1000
-365,1,Ship8,28/4/2023,28/4/2022,50,ACT,M,No,Interior_Mid,500,0.06,470,1000
-365,1,Ship8,28/4/2023,28/4/2022,80,VIC,M,No,Interior_Mid,500,0.19,405,1000
-365,1,Ship8,28/4/2023,28/4/2022,46,WA,M,No,Interior_Mid,500,0,500,1000
-365,1,Ship8,28/4/2023,28/4/2022,48,SA,F,No,Interior_Mid,500,0.03,485,1000
-365,1,Ship8,28/4/2023,28/4/2022,35,TAS,F,Yes,Interior_Mid,500,0.1,450,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,SA,M,No,Interior_Mid,500,0.27,365,1000
-365,1,Ship8,28/4/2023,28/4/2022,28,ACT,M,No,Interior_Mid,500,0.13,435,1000
-365,1,Ship8,28/4/2023,28/4/2022,42,TAS,F,Yes,Interior_Mid,500,0.17,415,1000
-365,1,Ship8,28/4/2023,28/4/2022,54,TAS,F,No,Interior_Mid,500,0.1,450,1000
-365,1,Ship8,28/4/2023,28/4/2022,60,TAS,M,No,Interior_Mid,500,0.32,340,1000
-365,1,Ship8,28/4/2023,28/4/2022,76,NT,F,No,Interior_Mid,500,0.38,310,1000
-365,1,Ship8,28/4/2023,28/4/2022,36,QLD,M,No,Interior_Mid,500,0.13,435,1000
-365,1,Ship8,28/4/2023,28/4/2022,26,NSW,M,No,Interior_Mid,500,0.2,400,1000
-365,1,Ship8,28/4/2023,28/4/2022,57,ACT,M,No,Interior_Mid,500,0.12,440,1000
-365,1,Ship8,28/4/2023,28/4/2022,80,VIC,M,No,Interior_Mid,500,0.17,415,1000
-365,1,Ship8,28/4/2023,28/4/2022,20,VIC,M,Yes,Interior_Mid,500,0.05,475,1000
-365,1,Ship8,28/4/2023,28/4/2022,56,QLD,M,No,Interior_Mid,500,0.28,360,1000
-365,1,Ship8,28/4/2023,28/4/2022,77,QLD,M,No,Interior_Mid,500,0.33,335,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,NSW,F,No,Interior_Mid,500,0.34,330,1000
-365,1,Ship8,28/4/2023,28/4/2022,26,ACT,F,Yes,Interior_Mid,500,0.39,305,1000
-365,1,Ship8,28/4/2023,28/4/2022,73,QLD,M,No,Interior_Mid,500,0.35,325,1000
-365,1,Ship8,28/4/2023,28/4/2022,43,VIC,M,No,Interior_Mid,500,0.36,320,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,SA,F,Yes,Interior_Mid,500,0.12,440,1000
-365,1,Ship8,28/4/2023,28/4/2022,41,TAS,M,No,Interior_Mid,500,0.39,305,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,VIC,F,No,Interior_Mid,500,0.3,350,1000
-365,1,Ship8,28/4/2023,28/4/2022,80,QLD,M,No,Interior_Mid,500,0.08,460,1000
-365,1,Ship8,28/4/2023,28/4/2022,61,NSW,F,No,Interior_Mid,500,0.27,365,1000
-365,1,Ship8,28/4/2023,28/4/2022,80,NSW,F,Yes,Interior_Mid,500,0.01,495,1000
-365,1,Ship8,28/4/2023,28/4/2022,37,NSW,M,No,Interior_Mid,500,0.2,400,1000
-365,1,Ship8,28/4/2023,28/4/2022,18,ACT,M,Yes,Interior_Mid,500,0.18,410,1000
-365,1,Ship8,28/4/2023,28/4/2022,80,QLD,F,Yes,Interior_Mid,500,0.36,320,1000
-365,1,Ship8,28/4/2023,28/4/2022,37,NT,F,Yes,Interior_Mid,500,0.29,355,1000
-365,1,Ship8,28/4/2023,28/4/2022,22,NT,F,Yes,Interior_Mid,500,0.05,475,1000
-364,1,Ship8,28/4/2023,29/4/2022,36,SA,M,No,Interior_Mid,500,0.23,385,1000
-364,1,Ship8,28/4/2023,29/4/2022,80,WA,M,No,Interior_Mid,500,0.16,420,1000
-363,1,Ship8,28/4/2023,30/4/2022,70,QLD,M,Yes,Interior_Mid,500,0.31,345,1000
-362,1,Ship8,28/4/2023,1/5/2022,80,NT,M,No,Interior_Mid,500,0.18,410,1000
-362,1,Ship8,28/4/2023,1/5/2022,51,VIC,M,No,Interior_Mid,500,0.08,460,1000
-361,1,Ship8,28/4/2023,2/5/2022,51,VIC,M,No,Interior_Mid,500,0.04,480,1000
-361,1,Ship8,28/4/2023,2/5/2022,37,NSW,M,No,Interior_Mid,500,0.39,305,1000
-360,1,Ship8,28/4/2023,3/5/2022,18,NT,F,No,Interior_Mid,500,0.33,335,1000
-359,1,Ship8,28/4/2023,4/5/2022,61,WA,M,No,Interior_Mid,500,0.13,435,1000
-359,1,Ship8,28/4/2023,4/5/2022,19,QLD,M,No,Interior_Mid,500,0.31,345,1000
-358,1,Ship8,28/4/2023,5/5/2022,55,NT,M,No,Interior_Mid,500,0.27,365,1000
-358,1,Ship8,28/4/2023,5/5/2022,80,NT,M,No,Interior_Mid,500,0.3,350,1000
-357,1,Ship8,28/4/2023,6/5/2022,18,SA,M,No,Interior_Mid,500,0.1,450,1000
-357,1,Ship8,28/4/2023,6/5/2022,76,TAS,F,No,Interior_Mid,500,0.25,375,1000
-356,1,Ship8,28/4/2023,7/5/2022,55,ACT,M,No,Interior_Mid,500,0.07,465,1000
-356,1,Ship8,28/4/2023,7/5/2022,64,VIC,F,No,Interior_Mid,500,0.18,410,1000
-355,1,Ship8,28/4/2023,8/5/2022,74,QLD,F,No,Interior_Mid,500,0.26,370,1000
-355,1,Ship8,28/4/2023,8/5/2022,80,SA,M,No,Interior_Mid,500,0.14,430,1000
-354,1,Ship8,28/4/2023,9/5/2022,80,VIC,F,No,Interior_Mid,500,0.05,475,1000
-354,1,Ship8,28/4/2023,9/5/2022,62,ACT,F,Yes,Interior_Mid,500,0.28,360,1000
-353,1,Ship8,28/4/2023,10/5/2022,44,VIC,F,Yes,Interior_Mid,500,0.15,425,1000
-353,1,Ship8,28/4/2023,10/5/2022,39,NSW,M,Yes,Interior_Mid,500,0.04,480,1000
-352,1,Ship8,28/4/2023,11/5/2022,66,NSW,M,No,Interior_Mid,500,0.07,465,1000
