ticket_type,RRP,ID,tickets_available
Interior_Mid,500,Ship8,90
Interior_Aft,550,Ship8,90
Interior_Bow,600,Ship8,90
Balcony_Mid,650,Ship8,90
Balcony_Aft,700,Ship8,90
Balcony_Bow,750,Ship8,80
Suites_Mid,900,Ship8,80
Suites_Aft,1000,Ship8,80
Suites_Bow,1100,Ship8,80
OceanView_Mid,1500,Ship8,50
OceanView_Aft,1800,Ship8,50
OceanView_Bow,2100,Ship8,50
MiniSuites_Mid,2500,Ship8,20
MiniSuites_Aft,2600,Ship8,20
MiniSuites_Bow,2700,Ship8,20
PenthouseSuites_Aft,3500,Ship8,10
PenthouseSuites_Bow,4000,Ship8,10
Interior_Mid,500,Ship9,95
Interior_Aft,550,Ship9,95
Interior_Bow,600,Ship9,95
Balcony_Mid,650,Ship9,94
Balcony_Aft,700,Ship9,94
Balcony_Bow,750,Ship9,84
Suites_Mid,900,Ship9,84
Suites_Aft,1000,Ship9,84
Suites_Bow,1100,Ship9,84
OceanView_Mid,1500,Ship9,52
OceanView_Aft,1800,Ship9,52
OceanView_Bow,2100,Ship9,53
MiniSuites_Mid,2500,Ship9,22
MiniSuites_Aft,2600,Ship9,21
MiniSuites_Bow,2700,Ship9,21
PenthouseSuites_Aft,3500,Ship9,10
PenthouseSuites_Bow,4000,Ship9,10
Interior_Mid,500,Ship10,108
Interior_Aft,550,Ship10,108
Interior_Bow,600,Ship10,108
Balcony_Mid,650,Ship10,108
Balcony_Aft,700,Ship10,108
Balcony_Bow,750,Ship10,96
Suites_Mid,900,Ship10,96
Suites_Aft,1000,Ship10,96
Suites_Bow,1100,Ship10,96
OceanView_Mid,1500,Ship10,60
OceanView_Aft,1800,Ship10,60
OceanView_Bow,2100,Ship10,60
MiniSuites_Mid,2500,Ship10,24
MiniSuites_Aft,2600,Ship10,24
MiniSuites_Bow,2700,Ship10,24
PenthouseSuites_Aft,3500,Ship10,12
PenthouseSuites_Bow,4000,Ship10,12
Interior_Mid,500,Ship4,112
Interior_Aft,550,Ship4,112
Interior_Bow,600,Ship4,113
Balcony_Mid,650,Ship4,113
Balcony_Aft,700,Ship4,113
Balcony_Bow,750,Ship4,100
Suites_Mid,900,Ship4,100
Suites_Aft,1000,Ship4,100
Suites_Bow,1100,Ship4,100
OceanView_Mid,1500,Ship4,62
OceanView_Aft,1800,Ship4,62
OceanView_Bow,2100,Ship4,62
MiniSuites_Mid,2500,Ship4,25
MiniSuites_Aft,2600,Ship4,25
MiniSuites_Bow,2700,Ship4,25
PenthouseSuites_Aft,3500,Ship4,13
PenthouseSuites_Bow,4000,Ship4,13
Interior_Mid,500,Ship5,117
Interior_Aft,550,Ship5,117
Interior_Bow,600,Ship5,117
Balcony_Mid,650,Ship5,117
Balcony_Aft,700,Ship5,117
Balcony_Bow,750,Ship5,104
Suites_Mid,900,Ship5,104
Suites_Aft,1000,Ship5,104
Suites_Bow,1100,Ship5,104
OceanView_Mid,1500,Ship5,65
OceanView_Aft,1800,Ship5,65
OceanView_Bow,2100,Ship5,65
MiniSuites_Mid,2500,Ship5,26
MiniSuites_Aft,2600,Ship5,26
MiniSuites_Bow,2700,Ship5,26
PenthouseSuites_Aft,3500,Ship5,13
PenthouseSuites_Bow,4000,Ship5,13
Interior_Mid,500,Ship6,122
Interior_Aft,550,Ship6,122
Interior_Bow,600,Ship6,121
Balcony_Mid,650,Ship6,121
Balcony_Aft,700,Ship6,121
Balcony_Bow,750,Ship6,108
Suites_Mid,900,Ship6,108
Suites_Aft,1000,Ship6,108
Suites_Bow,1100,Ship6,108
OceanView_Mid,1500,Ship6,67
OceanView_Aft,1800,Ship6,68
OceanView_Bow,2100,Ship6,68
MiniSuites_Mid,2500,Ship6,27
MiniSuites_Aft,2600,Ship6,27
MiniSuites_Bow,2700,Ship6,27
PenthouseSuites_Aft,3500,Ship6,13
PenthouseSuites_Bow,4000,Ship6,14
Interior_Mid,500,Ship7,126
Interior_Aft,550,Ship7,126
Interior_Bow,600,Ship7,126
Balcony_Mid,650,Ship7,126
Balcony_Aft,700,Ship7,126
Balcony_Bow,750,Ship7,112
Suites_Mid,900,Ship7,112
Suites_Aft,1000,Ship7,112
Suites_Bow,1100,Ship7,112
OceanView_Mid,1500,Ship7,70
OceanView_Aft,1800,Ship7,70
OceanView_Bow,2100,Ship7,70
MiniSuites_Mid,2500,Ship7,28
MiniSuites_Aft,2600,Ship7,28
MiniSuites_Bow,2700,Ship7,28
PenthouseSuites_Aft,3500,Ship7,14
PenthouseSuites_Bow,4000,Ship7,14
